,name,data_type,net,KVRH,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
3762,MOF_net-ssa_node1-N41_node2-orgN10_edge1-E3,1inor_1org_1edge,ssa,12.2837717,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,1369.4342,3194.436,5183.018,6647.356,5492.0,13632.0,20420.0,22432.0,226.0,504.0,824.0,1088.0,1328.0,3416.0,5176.0,6040.0,97.1506,248.8024,386.8152,461.9056,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31.38207,29.67234,30.83242,42955.6,1207.77,5270.27,0.8318,3.629667448,0.8318,0.0,3.62967,0.0,35730.5,0.0
3763,MOF_net-ssa_node1-N41_node2-orgN20_edge1-E5,1inor_1org_1edge,ssa,3.181774159,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2754.118,6377.55,10733.784,13913.524,10360.0,25824.0,39744.0,46840.0,460.0,1012.0,1728.0,2248.0,2740.0,7012.0,10592.0,13120.0,186.1612,482.482,763.1168,953.4264,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,11.8336,17.544,42.656,72.928,64.0,96.0,200.0,232.0,1.0,2.0,5.0,9.0,4.0,14.0,28.0,34.0,0.5329,1.1242,2.5185,3.5989,28.09,119.78,263.447683,358.998415,0,1.78,4.8,9.76,0,4.0,15.0,43.0,0,0,0,0,0,-3.0,-4.0,1.0,0,-0.08,0.2,1.64,0,-12.0,-23.20711,-20.03555,37.71686,34.1709,37.71686,167412.0,767.245,7102.59,0.9152,8.472269794,0.9152,0.0,8.47225,0.0,153215.0,0.0
3764,MOF_net-ssa_node1-N41_node2-orgN10_edge1-E14,1inor_1org_1edge,ssa,5.212804012,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,1802.8198,4182.204,6736.906,8528.6296,7444.0,18240.0,27172.0,30160.0,290.0,648.0,1048.0,1360.0,1696.0,4328.0,6488.0,7512.0,127.3138,323.3384,498.1976,591.4048,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,9.2416,15.504,29.944,39.1856,49.0,84.0,133.0,182.0,1.0,2.0,4.0,5.0,4.0,12.0,20.0,24.0,0.5625,1.155,2.01,2.5725,54.76,167.24,284.212614,338.972614,0,0.98,2.31,2.31,0,2.0,9.0,9.0,0,0,0,0,0,-2.0,-2.0,-2.0,0,-0.04,0.32,0.32,0,-7.8,-8.80711,-8.80711,43.07401,40.2188,42.84542,98127.6,884.43,6698.87,0.9118,6.906163133,0.9118,0.0,6.90617,0.0,89472.7,0.0
3765,MOF_net-ptr_node1-N29_node2-orgN18_edge1-E15,1inor_1org_1edge,ptr,0.815276125,123.8472,238.3232,698.9936,421.056,3057.0,7040.0,5936.0,2304.0,13.0,32.0,64.0,48.0,112.0,320.0,352.0,192.0,8.6512,25.5792,38.5896,26.9808,3.1684,48.9856,18.156,18.156,2401.0,3136.0,1176.0,1176.0,1,8.0,4.0,4.0,64.0,128.0,96.0,96.0,2.0164,8.2928,4.3736,4.3736,0,-13.28,-3.08,-3.08,0,328.0,172.0,172.0,0,0,0,0,0,48.0,20.0,20.0,0,5.52,2.6,2.6,1232.8338,2751.042,4509.0908,5886.129,4698.0,11112.0,16688.0,19704.0,204.0,440.0,732.0,970.0,1172.0,2976.0,4460.0,5530.0,83.0796,209.8712,324.902,409.3274,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,60.14448,55.9927,60.04629,860689.0,467.556,7944.39,0.9444,16.04659698,0.9444,0.0,16.0466,0.0,812835.0,0.0
3766,MOF_net-ssa_node1-N41_node2-orgN1_edge1-E14,1inor_1org_1edge,ssa,3.545803401,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2474.8836,5678.5,9094.0568,11735.3276,10224.0,24640.0,36896.0,42176.0,396.0,880.0,1416.0,1876.0,2296.0,5872.0,8840.0,10492.0,173.2652,438.104,675.348,820.1412,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,10.1056,14.52133333,26.8312,33.23306667,54.0,73.33333333,126.0,154.6666667,1.0,1.833333333,3.333333333,4.166666667,3.5,9.833333333,15.5,19.16666667,0.552633333,1.002383333,1.705,2.13475,45.87,135.4379472,218.8017427,269.8896898,0,1.156666667,1.836666667,2.34,0,3.166666667,6.666666667,8.5,0,0,0,0,0,-1.666666667,-1.833333333,-2.333333333,0,0.02,0.2,0.246666667,0,-7.067851667,-7.871406667,-9.739258333,34.68821,31.45132,34.55005,130255.0,879.784,6554.49,0.8947,6.66562365,0.8947,0.0,6.66562,0.0,116539.0,0.0
3767,MOF_net-ssa_node1-N41_node2-orgN20_edge1-E7,1inor_1org_1edge,ssa,2.6408074,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,3453.438,7899.39,13421.544,17010.404,12168.0,30240.0,46464.0,56792.0,588.0,1268.0,2208.0,2760.0,3476.0,8740.0,12992.0,16704.0,225.5724,584.9844,920.7328,1173.0232,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,11.8336,17.544,42.656,72.928,64.0,96.0,200.0,232.0,1.0,2.0,5.0,9.0,4.0,14.0,28.0,34.0,0.5329,1.1242,2.5185,3.5989,28.09,119.78,263.447683,358.998415,0,1.78,4.8,9.76,0,4.0,15.0,43.0,0,0,0,0,0,-3.0,-4.0,1.0,0,-0.08,0.2,1.64,0,-12.0,-23.20711,-20.03555,41.94716,37.56596,41.94716,221525.0,706.797,7330.86,0.9156,9.496555995,0.9156,0.0,9.49656,0.0,202829.0,0.0
3768,MOF_net-ssa_node1-N41_node2-orgN15_edge1-E5,1inor_1org_1edge,ssa,8.243330433,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,1622.5892,3823.266,6239.248,8122.276,6584.0,16512.0,25168.0,28192.0,268.0,604.0,992.0,1328.0,1596.0,4140.0,6384.0,7560.0,116.5804,300.7004,473.4624,574.6336,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37.08501,36.41947,37.08501,68040.9,1052.29,6119.91,0.8838,5.140015703,0.8838,0.0,5.14002,0.0,60134.6,0.0
3769,MOF_net-tbo_node1-N66_node2-orgN19_edge1-E13,1inor_1org_1edge,tbo,0.109703137,84.3877,145.856,152.812,110.9744,5036.0,4320.0,2944.0,2016.0,10.0,20.0,18.0,14.0,42.0,88.0,76.0,56.0,8.824,16.425,14.4458,9.9426,2.8561,14.534,8.619,17.3394,2304.0,960.0,576.0,1152.0,1,2.5,2.0,3.5,6.5,13.0,15.0,21.0,2.1904,2.701,2.2792,3.8998,0,-4.375,-1.72,-4.345,0,100.0,84.0,144.0,0,0,0,0,0,1.5,-1.0,0.0,0,1.875,1.42,2.545,1189.912,2666.841,4299.6188,5735.574,4714.0,11136.0,16544.0,18912.0,194.0,422.0,684.0,940.0,1106.0,2838.0,4268.0,5100.0,81.6498,205.1742,315.4972,389.9052,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2.0,2.0,4.0,0,0,0,0,0,-2.0,-2.0,-4.0,0,-0.04,-0.04,-0.08,0,-6.0,-6.0,-12.0,10.1776,18.02566667,37.15691111,61.68866667,54.41666667,97.83333333,201.4444444,222.5,1.0,2.277777778,4.555555556,8.388888889,6.111111111,18.33333333,35.94444444,48.16666667,0.551811111,1.309855556,2.609166667,3.683461111,45.12916667,181.8986111,352.3138889,491.6489092,0,1.260555556,2.199722222,5.741111111,0,2.638888889,4.555555556,28.27777778,0,0,0,0,0,-0.722222222,-0.722222222,6.222222222,0,-0.052777778,-0.091111111,1.351111111,0,-9.641666667,-17.11666667,-8.193921667,69.46865,46.07858,68.6596,1732240.0,335.341,7779.7,0.9633,22.34801471,0.9633,0.0,22.348,0.0,1668670.0,0.0
3770,MOF_net-ssa_node1-N41_node2-orgN21_edge1-E7,1inor_1org_1edge,ssa,3.567957907,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2663.7556,6135.708,10196.092,12893.8784,9760.0,24288.0,36880.0,44132.0,452.0,984.0,1672.0,2108.0,2656.0,6696.0,10008.0,12560.0,179.9524,464.156,724.5256,908.1068,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,9.2416,15.504,31.008,55.7536,49.0,84.0,168.0,301.0,1.0,2.0,4.0,7.0,4.0,12.0,24.0,40.0,0.5625,1.155,2.31,4.0275,54.76,167.24,334.48,556.48,0,0.98,1.96,2.94,0,2.0,4.0,6.0,0,0,0,0,0,-2.0,-4.0,-6.0,0,-0.04,-0.08,-0.12,0,-7.8,-15.6,-23.4,45.5388,42.39367,45.50145,157535.0,763.569,6966.31,0.9074,8.278517275,0.9074,0.0,8.27853,0.0,142948.0,0.0
3771,MOF_net-ssa_node1-N41_node2-orgN20_edge1-E3,1inor_1org_1edge,ssa,4.153698258,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2468.598,5677.83,9542.424,12259.084,9192.0,22752.0,34752.0,40888.0,412.0,900.0,1536.0,1976.0,2436.0,6196.0,9248.0,11440.0,164.998,425.9332,668.992,831.5816,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,11.8336,17.544,42.656,72.928,64.0,96.0,200.0,232.0,1.0,2.0,5.0,9.0,4.0,14.0,28.0,34.0,0.5329,1.1242,2.5185,3.5989,28.09,119.78,263.447683,358.998415,0,1.78,4.8,9.76,0,4.0,15.0,43.0,0,0,0,0,0,-3.0,-4.0,1.0,0,-0.08,0.2,1.64,0,-12.0,-23.20711,-20.03555,32.06951,29.10467,32.06951,118808.0,927.603,6849.7,0.898,6.631123451,0.898,0.0,6.6311,0.0,106690.0,0.0
3772,MOF_net-pth_node1-N74_node2-orgN20_edge1-E4,1inor_1org_1edge,pth,0.307340032,126.391,244.9968,539.3892,467.3584,5264.0,7680.0,11200.0,7488.0,14.0,34.0,56.0,58.0,98.0,266.0,356.0,296.0,11.0156,28.4408,41.6512,39.858,2.8561,26.1612,17.93935,35.43085,2304.0,1728.0,3312.0,2352.0,1,4.5,4.5,7.0,22.5,49.5,67.5,76.5,2.1904,4.8618,6.179,7.77,0,-7.875,-3.01,-9.135,0,180.0,147.0,287.0,0,0,0,0,0,12.5,6.0,12.5,0,3.375,2.485,5.11,1494.0132,3336.879,5566.7688,7284.702,5622.0,13344.0,20232.0,24132.0,246.0,530.0,896.0,1184.0,1426.0,3626.0,5384.0,6784.0,98.6214,250.4194,390.3776,494.0544,11.8336,8.772,20.6056,16.34,64.0,48.0,112.0,56.0,1,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.5329,0.5621,1.095,0.8322,28.09,59.89,87.98,83.777683,0,0.89,0.89,2.13,0,2.0,2.0,9.0,0,0,0,0,0,-2.0,-2.0,-2.0,0,-0.04,-0.04,0.32,0,-6.0,-6.0,-5.20711,11.8336,17.544,42.656,71.724,64.0,96.0,200.0,192.0,1.0,2.0,5.0,9.0,4.0,14.0,28.0,30.0,0.5329,1.1242,2.5185,3.3069,28.09,119.78,263.447683,322.996098,0,1.78,4.8,10.11,0,4.0,15.0,48.0,0,0,0,0,0,-3.0,-4.0,3.0,0,-0.08,0.2,2.04,0,-12.0,-23.20711,-13.24266,24.83841,21.53389,23.97346,78475.9,953.059,7132.1,0.9143,6.842077693,0.9143,0.0,6.84205,0.0,71750.5,0.0
3773,MOF_net-ssa_node1-N41_node2-orgN19_edge1-E5,1inor_1org_1edge,ssa,3.764365484,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2145.9156,5037.474,8199.484,10791.916,8544.0,21408.0,32368.0,36640.0,356.0,796.0,1304.0,1760.0,2100.0,5436.0,8328.0,9912.0,152.218,391.9916,613.356,748.648,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,9.2416,23.256,46.512,86.64,49.0,126.0,252.0,294.0,1.0,3.0,6.0,12.0,9.0,27.0,54.0,72.0,0.5625,1.7325,3.465,5.13,54.76,250.86,501.72,701.835684,0,1.47,2.94,7.98,0,3.0,6.0,42.0,0,0,0,0,0,0.0,0.0,12.0,0,-0.06,-0.12,2.16,0,-11.7,-23.4,-6.04266,46.87384,43.85586,46.87384,156683.0,674.196,7027.71,0.9276,9.669147539,0.9276,0.0,9.66915,0.0,145339.0,0.0
3774,MOF_net-ssa_node1-N41_node2-orgN18_edge1-E15,1inor_1org_1edge,ssa,2.237793761,137.014,254.6304,470.334,930.24,1455.0,3276.0,5790.0,5040.0,19.0,36.0,66.0,120.0,102.0,288.0,426.0,360.0,12.0774,25.2,47.2746,69.3,3.5344,34.2912,57.528,93.248,729.0,1134.0,1944.0,2700.0,1,6.0,12.0,20.0,36.0,108.0,216.0,300.0,1.5876,5.67,11.6424,17.388,0,-6.96,-8.04,-12.0,0,120.0,252.0,440.0,0,0,0,0,0,18.0,36.0,70.0,0,3.06,5.88,11.4,2880.2392,6680.796,10944.028,14191.466,10864.0,27120.0,40720.0,47312.0,488.0,1072.0,1784.0,2348.0,2856.0,7296.0,11016.0,13476.0,199.5944,514.1136,800.7032,992.5116,9.2416,15.504,30.24462222,31.07024762,49.0,84.0,142.8888889,109.8666667,1,2.0,4.0,4.282539683,4.0,12.0,19.84761905,17.6952381,0.5625,1.155,2.094761905,1.873166667,54.76,167.24,298.4151453,257.5711963,0,0.98,2.211111111,2.798444444,0,2.0,7.587301587,14.28253968,0,0,0,0,0,-2.0,-1.923809524,-0.282539683,0,-0.04,0.206984127,0.714349206,0,-7.8,-10.72637098,-3.116124762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,58.15226,56.03668,58.15226,286546.0,514.048,7686.89,0.942,14.08631833,0.942,0.0,14.0863,0.0,269926.0,0.0
